(69,5.873938502188367,1.5870707328084794)
(60,5.8734841973626715,1.5857127927193828)
(31,5.872121216214415,1.5860109051922426)
(19,5.872076965855799,1.5853866235158949)
(3,5.871902528656078,1.5854232562369348)
(4,5.8719647304328,1.5853573155015277)
(22,5.871926581903793,1.585525024719004)
(24,5.872041685168972,1.5855101151838398)
(53,5.872958254909588,1.5858679679960916)
(49,5.87285814306663,1.586209435700036)
(64,5.873453269048244,1.5857359403170947)
(3,5.87981767577925,1.585504199424275)
(1,5.871964331339202,1.5853570982566858)
(6,5.7208546402485,1.585147560412546)
(13,5.871981767577925,1.5855041699424275)
(5,5.87126581903793,1.58552524719004)
(67,5.873710780769648,1.588743813779595)
(38,5.87275042327536,1.5880166376520801)
(15,5.872026904809304,1.5854986583377442)
(29,5.872162643759629,1.5860355075419588)
(14,5.872074592441187,1.585465327928178)
(52,5.872802655022918,1.5862234327932683)
(3,5.87198176577925,1.585541699424275)
(18,5.87205766933927,1.585165939974496)
(2,5.871979129346763,1.5854076671163875)
(23,5.871927189635046,1.5854803853861907)
(62,5.873574133423872,1.5856953935221698)
(66,5.873545431453207,1.5887958938052344)
(56,5.8733832902415175,1.586253084753151)
(57,5.8735129639558386,1.585673446027743)
(11,5.87284473945821,1.587893104472978)
(6,5.871979463286311,1.5854083042692646)
(55,5.87338324162988,1.5862530814707712)
(21,5.8719668367763465,1.5855014736041257)
(68,5.873710714002366,1.5887441247938485)
(17,5.871970727072625,1.585533405827881)
(28,5.872162642811356,1.5860353845390358)
(54,5.87295830085825,1.5858680246985797)
(25,5.87208546402485,1.5851475604212546)
(63,5.8735593940000035,1.5856298468051624)
(9,5.8275042327536,1.588016637520801)
(16,5.87345269048244,1.587359403170947)
(20,5.872091443256318,1.5854330993220056)
(48,5.872858148455237,1.5862094366374022)
(0,5.87196431339202,1.585350982566858)
(26,5.871928165959443,1.585170397856961)
(59,5.873513038244191,1.5856734907844054)
(0,5.871964755437644,1.5853570619555235)
(30,5.872162643759629,1.5860355075419588)
(58,5.873513038244191,1.5856734907844054)
(65,5.873545503600664,1.5887955580946858)
(61,5.873669621726327,1.5857472894870386)
(16,5.872174112015575,1.5851673467846465)
(12,5.872129937955314,1.5855218063417627)
(11,5.87244973945821,1.587389310472978)
(27,5.87199740360967,1.5855344449094881)
(50,5.872881804197891,1.5862114964580545)
(51,5.872816128219323,1.5862089789152227)
(3,5.87219937955314,1.585528063417627)
